epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.20867081667170112,0.2086708143729919,0.43439623323903737,0.15999336897144517,0.15999336721415103,0.3871123869749852
2,0.17232371805049915,0.17232371658930803,0.3892654029459652,0.15982283681387663,0.15982283549426804,0.3826360324886964
3,0.16408887839651443,0.16408887652791346,0.38669483252006215,0.15249753914677833,0.15249753755588422,0.3845221329817628
4,0.16008746215541003,0.16008746053886516,0.38617964150384326,0.1498010929852133,0.14980109146596945,0.38228543954916977
5,0.1573406569075497,0.15734065532428376,0.38584753733995925,0.1507224299039696,0.15072242850741885,0.3818665620492735
6,0.1567153146675041,0.15671531319117277,0.3854558422400941,0.14897359432946009,0.1489735931947031,0.3824274634661579
7,0.15593768930709637,0.15593768759927357,0.38532647926920766,0.15291118023693215,0.15291117922425226,0.3850087185342683
8,0.1552880127896537,0.15528801139941606,0.384873634799704,0.14916937500064542,0.14916937276193074,0.3818377703973342
9,0.15480243495435844,0.1548024332732533,0.38470631248920223,0.1488067065229772,0.14880670488246825,0.3830071636826457
10,0.15446111549923808,0.15446111389350595,0.38462207575624446,0.14768478297818638,0.14768478177114913,0.3825599492290859
11,0.15410915415884457,0.15410915230412683,0.38410754657073704,0.14809261611907318,0.1480926154764325,0.38209009682886047
12,0.15383191666763785,0.15383191517013733,0.38427223879860584,0.14703386127861823,0.14703385940583383,0.38229963514865584
13,0.15384602511887716,0.15384602328851513,0.38370335134629846,0.1485344629513063,0.1485344611196459,0.3811854521714624
14,0.1535575748195957,0.15355757336886106,0.38395264902806014,0.14743798675587186,0.14743798502097716,0.38137953804829405
15,0.15325323340890404,0.15325323209420758,0.3838968287612654,0.1475852549841134,0.14758525355077154,0.38236763972761784
16,0.153048407566082,0.15304840584186996,0.383589986968819,0.14740663415631725,0.1474066326917841,0.38106338453462146
17,0.15283770872665955,0.1528377071344904,0.3832378558805283,0.14718297228234511,0.14718296986706664,0.38248975365455473
18,0.15270374588044358,0.1527037442052392,0.3832031726192126,0.1466963797233903,0.14669637872671204,0.3828800407094746
19,0.15254842728366444,0.1525484255777632,0.38331581505432805,0.14671179112329505,0.14671178950959549,0.38285904382087105
20,0.1524070060905473,0.15240700439645563,0.3823269706986665,0.14643344809947798,0.14643344662646104,0.38130629664256627
21,0.1523916260138885,0.1523916244397179,0.3827953571402575,0.1472135998717267,0.14721359850353927,0.3831838799375757
22,0.15229432818827568,0.15229432634559167,0.38275525543758554,0.147376523256441,0.14737652243272858,0.38100834913468884
23,0.15211164505830954,0.15211164327068616,0.38252883716640157,0.14759561509902447,0.14759561407464086,0.38354980449925224
24,0.1520750174870044,0.15207501595252995,0.382254827397996,0.1466989769158035,0.14669897487865602,0.3828997533673352
25,0.15220414314382985,0.15220414171798735,0.38278603100532316,0.14718321285698488,0.14718321206801968,0.38198091612224633
26,0.15184003319547779,0.15184003163235615,0.3825791200675711,0.14655145693270438,0.1465514553028072,0.3826635020736267
27,0.15186591090899848,0.15186590946989725,0.3825713128767587,0.14625355068381218,0.14625354868248985,0.3818261356076224
28,0.15177620521258384,0.1517762031508505,0.3822774628554356,0.1477968649310576,0.14779686378515688,0.38179577631528744
29,0.15164536116399246,0.15164535945912405,0.38234810228141486,0.14878507918279396,0.14878507658823575,0.3848856010193129
30,0.1516826216194842,0.15168262020407416,0.38244669676574794,0.14575748055164844,0.14575747902683275,0.38214900558935394
31,0.15180189341237077,0.15180189146866901,0.3825196264458328,0.14997792979452407,0.1499779277648244,0.38478685919854777
32,0.1514645312820469,0.15146452983397843,0.38209272419845147,0.1468273622256594,0.14682736136767582,0.3821948700864056
33,0.15175896933228325,0.15175896759630966,0.3819776992566474,0.14675603652222988,0.14675603438403279,0.38311827758858524
34,0.15139270332462595,0.15139270172793315,0.3821061855835277,0.14731488182984268,0.1473148798459499,0.38174971729408425
35,0.15160678240570338,0.1516067812585906,0.3819993639287748,0.14584208641509888,0.14584208574035695,0.3827468376757903
36,0.15129368935957485,0.1512936877244029,0.38229423559982184,0.14656185177062467,0.1465618510350542,0.38121225320692714
37,0.1511461380067411,0.1511461362408793,0.38175517859833674,0.146094742723357,0.14609474105848866,0.3831683359171363
38,0.1512357237281742,0.15123572246627245,0.38148095765920087,0.14613923100078677,0.14613923026989217,0.3825065057755087
39,0.1511194497684976,0.1511194483286838,0.3815152841191497,0.1481625406786608,0.14816253805293933,0.3828915336219238
40,0.15098883001296012,0.15098882824661794,0.381370544331625,0.14582911159847553,0.14582911061455095,0.3830638079543006
