epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.6182457614685092,0.6182457537044662,0.951215703352993,0.5584247929316836,0.5584247846515247,0.9069823999830482
2,0.48722453371625396,0.4872245280499049,0.8437852793558336,0.42721950333204683,0.4272194996122794,0.8112453435821124
3,0.3906984627644752,0.3906984582051515,0.7606032001381564,0.3621328491521967,0.3621328440100071,0.7396137687173402
4,0.3371234265403531,0.33712342247224697,0.6823220392631336,0.31541685615704246,0.31541685238340433,0.6758540490408452
5,0.3020686552087678,0.3020686526099732,0.6272213425344241,0.29205591582813784,0.29205591259924074,0.6363549058414524
6,0.2833685848976327,0.2833685818974834,0.5939589647850227,0.2760927720710444,0.27609276904643043,0.6151184439353266
7,0.2688724890311506,0.26887248670614095,0.5714054580844636,0.2639510810827291,0.26395108225167324,0.5949434592796347
8,0.2584736615230388,0.2584736588170256,0.5611107953433457,0.25902221437930506,0.25902221123005204,0.5985332683403414
9,0.25156189267024975,0.2515618901588911,0.555536209723955,0.25034252097754106,0.25034251948394465,0.58210842281753
10,0.2476562708168625,0.2476562683842018,0.550619983570623,0.2476612220549806,0.2476612205513184,0.5832720850384437
11,0.24364351574704549,0.24364351414987578,0.5473159294726807,0.24352393208925754,0.24352392836029232,0.5782069930868946
12,0.2414021930434755,0.24140219067376673,0.5447779042501402,0.244312351058773,0.24431234692360748,0.5817381471030197
13,0.2389683171868006,0.23896831472928748,0.5429593432913732,0.2402223005908234,0.24022229588869934,0.5751561867939954
14,0.23701466652297368,0.2370146643164114,0.5415245240554347,0.2388848001995888,0.2388847968267331,0.5747442004238783
15,0.23584782359039833,0.2358478209976426,0.5400675433804477,0.23819533594674241,0.23819533192493217,0.5735853939194754
16,0.2350236908824883,0.2350236882657612,0.53933349663685,0.23629755989290868,0.23629755587084647,0.5701253732228605
17,0.23351252116810017,0.23351251934537667,0.5385102589787624,0.23646199736252965,0.23646199573859633,0.5693008995614155
18,0.23340570739158323,0.2334057052303047,0.5381906160671619,0.23450201805441911,0.23450201393571718,0.5665755567968016
19,0.23150667713305978,0.23150667433341157,0.5369905724716842,0.23326244656444292,0.23326244187273462,0.5666958226143645
20,0.23084536515106666,0.23084536297081445,0.5365089533645134,0.23309822170152963,0.233098217613291,0.5659991969056313
21,0.23014992922146585,0.23014992772155934,0.5360173157972258,0.2327144236902651,0.2327144224421948,0.5670304364755698
22,0.22959197339948728,0.2295919721839138,0.5356091210645908,0.23161369426525877,0.2316136924948609,0.5642595875512972
23,0.22896457648026608,0.22896457409666945,0.5352179955481766,0.23099489537010115,0.23099489344479698,0.566200405707196
24,0.22862398002709503,0.22862397769298695,0.5352503821059903,0.23060680029516042,0.2306067971173621,0.5653684605771391
25,0.22784444926000724,0.22784444672739226,0.5348823635513558,0.23016229876107347,0.2301622985744999,0.5642437794256614
26,0.22779897676012387,0.22779897371265637,0.5346325262366677,0.23120735251847893,0.23120734974108506,0.5660607849000661
27,0.227187747695298,0.22718774617771528,0.5345143566268845,0.22946760515696527,0.22946760218945592,0.563640865296773
28,0.22690430190538532,0.22690429925011815,0.5342481334196703,0.22902190789597732,0.2290219054149004,0.5639732177543805
29,0.2265334662661772,0.2265334645743313,0.534266752744962,0.22883160226264385,0.2288316003490014,0.5636508459287111
30,0.22610077169911566,0.22610076889665623,0.5341469529832218,0.2288120281268585,0.22881202540850124,0.5634525707483894
31,0.22595057783223121,0.22595057547942177,0.5340264132005009,0.22829083794056326,0.2282908372848189,0.5638618319025451
32,0.2257830135285536,0.22578301082861135,0.5338401633727591,0.22816758682840485,0.22816758410845162,0.5650047283896428
33,0.2255211145242798,0.2255211121931992,0.5338634123374495,0.22794148380691,0.2279414811826025,0.5640539038149522
34,0.2251850953537011,0.22518509340327159,0.5336998522441462,0.22759519747807236,0.22759519405819179,0.5626777787245899
35,0.224904654201901,0.2249046519186831,0.5335465235075455,0.22736299315265346,0.22736299079349964,0.5632962855355569
36,0.2247579091232275,0.22475790727797423,0.533498280050494,0.2272491555404496,0.22724915190151626,0.5633751798428437
37,0.22477948580071508,0.22477948411094356,0.5333327873380076,0.22690680868219468,0.22690680398673446,0.5629952215526992
38,0.22434708651140312,0.22434708433887174,0.533337579651231,0.22677010039569617,0.2267700959345764,0.5630250379640157
39,0.22413842830165365,0.22413842627308683,0.5330293850798481,0.2266618960570705,0.22666189313546606,0.5630577165862853
40,0.2241505441145203,0.22415054213129332,0.5330288946244414,0.22640585582029582,0.2264058536844087,0.5631661005294959
41,0.224163069326346,0.2241630668772425,0.5331502440543665,0.22651391601583365,0.2265139128975619,0.5620269768860772
42,0.223826288749204,0.2238262864748442,0.532998771094893,0.22611084967295236,0.22611084647255855,0.5627756346311726
43,0.22345527628056197,0.2234552745181394,0.5327901083361941,0.22618234153215358,0.22618233805823432,0.5622411040249282
44,0.22331853726199855,0.22331853509542599,0.5327443095823955,0.22632790366437638,0.22632789889569793,0.5611285067609355
45,0.2232587090202263,0.22325870718154853,0.5326084529503401,0.22579526196178507,0.22579526013599052,0.5619562513434099
46,0.22332264543653968,0.22332264372176355,0.532522885752825,0.22583326742557272,0.2258332668342268,0.561931207041993
47,0.222897375387964,0.22289737284712363,0.5323817078079742,0.22538353754001014,0.22538353497315727,0.5627499738383352
48,0.2229068053908676,0.2229068027878842,0.5323620867545578,0.2254380935774801,0.22543809121449035,0.5618738169039041
49,0.22279379364147842,0.22279379138594818,0.5323859982861489,0.22518150414510812,0.22518150081539942,0.5626855373024605
50,0.2224874651539469,0.22248746367239736,0.532171734801989,0.22525936874583832,0.22525936523211798,0.5614678557082833
51,0.2225664836293626,0.22256648122867442,0.5322387927215182,0.22509196806642529,0.22509196602567988,0.5612230043935792
52,0.22237162053266737,0.22237161846582482,0.5319581911580553,0.22514537931392742,0.22514537587306133,0.5628839376023427
53,0.22220495603332055,0.22220495373546992,0.5319762872184945,0.22494350202477242,0.22494349952223403,0.5608717761842877
54,0.22226867917303408,0.22226867697432878,0.532009985314098,0.22507391557045273,0.2250739122705913,0.5618506770501303
55,0.2220154811537393,0.22201547953831677,0.5317740174652201,0.2245164186962149,0.22451641616688112,0.5615540344425367
